mv '/home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0610_12450000\(2\).jpg' '/home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0610_12450000\(2\)-Boats_in_the_Marina.jpg'
mv /home/klotz/Documents/images/x100t/106_FUJI/DSCF6416.JPG /home/klotz/Documents/images/x100t/106_FUJI/DSCF6416-Columns_in_front_of_a_building.JPG
mv /home/klotz/Documents/images/2002jun21-leighsr/dsc00055.jpg /home/klotz/Documents/images/2002jun21-leighsr/dsc00055-lderly_woman_and_young_girl_in_kitchen.jpg
mv /home/klotz/Documents/images/photo-recovery/photo-s2/f2206400.jpg /home/klotz/Documents/images/photo-recovery/photo-s2/f2206400-Various_Screws_and_Bolts_on_a.jpg
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150709-1915-002.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150709-1915-002-Red_and_Gold_Chinese_Lantern.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4067.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4067-A_girl_wearing_a_blanket_on_the_c.JPG
mv /home/klotz/Documents/images/x100t/105_FUJI/DSCF5247.JPG /home/klotz/Documents/images/x100t/105_FUJI/DSCF5247-Boxes_of_Electronics.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9157.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9157-Close_Up_of_a_Marijuana_Plant.JPG
mv /home/klotz/Documents/images/pix-from-skg4-more/20140618_221648.jpg /home/klotz/Documents/images/pix-from-skg4-more/20140618_221648-Christmas_Tree_Lights.jpg
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1105.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1105-Man_with_a_cup_in_his_hand.JPG
mv '/home/klotz/Documents/images/hunter/Camera/2013-08-20 11.26.51.jpg' '/home/klotz/Documents/images/hunter/Camera/2013-08-20T11:26:51-bench_with_leaves_on_it.jpg'
mv /home/klotz/Documents/images/kilroy.jpg /home/klotz/Documents/images/kilroy-Family_Photo.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160408_131742.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160408_131742-Man_holding_an_umbrella_in_front_of_a.jpg
mv /home/klotz/Documents/images/x100t/108_FUJI/DSCF5651.JPG /home/klotz/Documents/images/x100t/108_FUJI/DSCF5651-Mouse_in_a_Cage.JPG
mv /home/klotz/Documents/images/pix-from-skg4-more/20140621_115745.jpg /home/klotz/Documents/images/pix-from-skg4-more/20140621_115745-Blue_and_white_box_with_chocolate_written_on.jpg
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1530.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1530-birds_flying_over_a_lake.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4875.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4875-Construction_Crane_in_the_Sky.JPG
mv /home/klotz/Documents/images/foo/P1030505.JPG /home/klotz/Documents/images/foo/P1030505-smiling_woman.JPG
mv /home/klotz/Documents/images/photo-recovery/photo-s3/f2945856.jpg /home/klotz/Documents/images/photo-recovery/photo-s3/f2945856-Monkey_Face.jpg
